Country,Indicator,latest_value
Qatar,Civil society index,0.19
Qatar,Share of Parliament Seats Held by Women,4.44
Qatar,Rule of Law Index,0.93
Qatar,"Change in absolute number of people exposed to coastal floods - SSP3, RCP 8.5 (2050)",4811.01
Qatar,Gender Development Index,1.03
Qatar,Persons with Severe Disabilities Collecting Disability Social Protection Benefits,6.4
Qatar,"MSME employment, % of total",33.92
Qatar,"Vulnerable Persons Covered by Social Assistance, percent",0.6
Qatar,"Greenhouse Gas (GHG) emissions, MtCO2e",119.61
Qatar,"Population covered by at least one social protection benefit, total",7.0
Qatar,"Large Enterprises employment, % of total",66.08
Qatar,"Gross Domestic Product (GDP) per capita, percent change",4.85
Qatar,"Chemicals Manufacturing, percent of value added",46.44
Qatar,"Mean Daily CO2 Emissions Change associated with COVID-19, percent",-18.6
Qatar,Score of adoption and implementation of national disaster risk reduction (DRR) strategies in line with the Sendai Framework,1.0
Qatar,Economic Inequality Score,42.3
Qatar,Government Integrity,51.7
Qatar,"MSMEs, % of all enterprises",96.64
Qatar,"Internet users, total (% of population)",99.65
Qatar,"Gross Domestic Product per capita, purchasing power parity (current international USD)",114049.23
Qatar,"Natural Capital, USD per capita",305679.0
Qatar,Terrestrial protected areas (% of total land area),15.78
Qatar,"Change in absolute number of people exposed to drought - SSP3, RCP 8.5 (2050)",1259071.71
Qatar,Youth Unemployment (% of total labor force ages 15-24),0.3
Qatar,"Material footprint per capita, tonnes",63.59
Qatar,Property Rights,70.4
Qatar,"Freshwater withdrawal, proportion of available freshwater resources",431.03
Qatar,"Human Development Index, male",0.87
Qatar,Percentage of primary schools with access to the internet,61.76
Qatar,Climate Change Readiness Ranking,44.0
Qatar,"Percent change in Gross Domestic Product, pre-COVID-19 baseline",2.83
Qatar,"Employment in agriculture, % of total employment",1.19
Qatar,"Employment in industry, % of total employment",54.0
Qatar,"Renewable energy consumption, percent of total final energy consumption",0.04
Qatar,"Proportion of population above statutory pensionable age receiving a pension, male",22.9
Qatar,"Government Net Lending/Borrowing, percent of Gross Domestic Product, pre-COVID-19 baseline",5.28
Qatar,Coverage of protected areas in relation to marine areas,59.99
Qatar,Ambient particulate matter pollution exposure,76.05
Qatar,"Inflation, percent change pre-COVID-19 baseline",1.97
Qatar,"Total Government Fiscal Response during the COVID-19 Pandemic, USD",20430400436.0
Qatar,"Population Using at least Basic Sanitation Services, urban, percent",99.94
Qatar,Government net lending/borrowing as percent of GDP,10.99
Qatar,Climate Change Readiness Score,0.53
Qatar,"SMEs, % of all enterprises",47.87
Qatar,"Estimates of Informal Output, percentage of official gross domestic product (GDP)",15.52
Qatar,Consumption of controlled substance (zero-filled) - Chemical: Total,56.49
Qatar,"Change in Human Hazard & Exposure to conflict -SSP3, RCP 8.5 (2050)",0.5
Qatar,Climate Risk Index Ranking,180.0
Qatar,Proportion of local governments that adopt and implement local disaster risk reduction (DRR) strategies in line with national disaster risk reduction strategies (%),100.0
Qatar,"Micro enterprises, % of all enterprises",48.77
Qatar,Consumption of controlled substance (zero-filled) - Chemical: Hydrochlorofluorocarbons (HCFCs),56.49
Qatar,"Access to water services, percent of population",96.65
Qatar,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",13.24
Qatar,"Access to electricity, rural (% of rural population)",100.0
Qatar,"Human Development Index, female",0.89
Qatar,Climate Risks Index Score,173.67
Qatar,"Renewable Internal Freshwater Resources per Capita, cubic meters",20.29
Qatar,"Access to electricity, urban (% of urban population)",100.0
Qatar,Gross National Income Per Capita (2017 PPP$),95944.38
Qatar,Government Spending,74.0
Qatar,Share of female business owners of new LLCs,12.56
Qatar,Investment Freedom,60.0
Qatar,Business Freedom,66.1
Qatar,Fiscal Health,96.4
Qatar,Labor Freedom,52.5
Qatar,Monetary Freedom,72.2
Qatar,Financial Freedom,60.0
Qatar,Trade Freedom,81.6
Republic of Congo,Trade Freedom,49.6
Republic of Congo,Government Spending,86.0
Republic of Congo,Tax Burden,75.5
Republic of Congo,Investment Freedom,35.0
Republic of Congo,Government Integrity,12.7
Republic of Congo,Financial Freedom,30.0
Republic of Congo,Fiscal Health,82.9
Republic of Congo,Business Freedom,35.9
Republic of Congo,Property Rights,30.0
Republic of Congo,Labor Freedom,42.3
Republic of Congo,Judicial Effectiveness,13.8
Republic of Congo,Monetary Freedom,79.8
Republic of Korea,"Natural Capital, USD per capita",2996.0
Republic of Korea,Forest area (% of land area),64.31
Republic of Korea,"Share of Informal employment by sex and status in employment (%), Female, Self-employed",39.9
Republic of Korea,"Share of Informal employment by age (%), 25 and above",26.4
Republic of Korea,"Renewable Internal Freshwater Resources per Capita, cubic meters",1251.06
Republic of Korea,"Employment outside the Formal Sector by sex and economic activity (thousands), Male, Non-agriculture",1665.89
Republic of Korea,Terrestrial protected areas (% of total land area),16.97
Republic of Korea,"Share of Informal employment by sex and economic activity (%), Male, Agriculture",86.1
Republic of Korea,Proportion of Labour Force with Advanced Education,73.53
Republic of Korea,"Employment outside the Formal Sector by sex and economic activity (thousands), Total, Non-agriculture",3272.03
Republic of Korea,"Human Development Index, female",0.9
Republic of Korea,"Informal employment by sex and status in employment (thousands), Total, Self-employed",2139.19
Republic of Korea,"Population Using at least Basic Drinking-Water Services, total, percent",100.0
Republic of Korea,"Access to water services, percent of population",99.28
Republic of Korea,"Human Development Index, male",0.95
Republic of Korea,"Renewable energy consumption, percent of total final energy consumption",3.36
Republic of Korea,Extent of Monopoly on Use of Force,10.0
Republic of Korea,Climate Vulnerability Ranking,41.0
Republic of Korea,Coefficient of human inequality,9.29
Republic of Korea,"Material footprint per capita, tonnes",24.69
Republic of Korea,Score of adoption and implementation of national disaster risk reduction (DRR) strategies in line with the Sendai Framework,1.0
Republic of Korea,Ambient particulate matter pollution exposure,27.44
Republic of Korea,"Net debt as percent of Gross Domestic Product (GDP),  pre-COVID-19 baseline",26.79
Republic of Korea,Climate Risks Index Score,85.17
Republic of Korea,"Share of Employment outside the Formal Sector by sex and age (%), Male, 25 and above",14.9
Republic of Korea,"Share of Informal employment by age (%), 15-24",31.8
Republic of Korea,"Chemicals Manufacturing, percent of value added",11.01
Republic of Korea,"Share of Informal employment by economic activity (%), Agriculture",87.5
Republic of Korea,"Share of Employment outside the Formal Sector by sex and age (%), Female, 15 and above",19.8
Republic of Korea,"Share of Informal employment by sex (%), Male",23.6
Republic of Korea,"Employment outside the Formal Sector by sex (thousands), Total",4487.8
Republic of Korea,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Not classified",8.7
Republic of Korea,Refugees and IDPs Score,1.4
Republic of Korea,Voice and Accountability Index,0.93
Republic of Korea,"Share of Employment outside the Formal Sector by sex and age (%), Female, 15-24",19.8
Republic of Korea,"Share of Employment outside the Formal Sector by age (%), 25 and above",16.9
Republic of Korea,Persons with Severe Disabilities Collecting Disability Social Protection Benefits,24.8
Republic of Korea,"Share of Informal employment by sex and age (%), Female, 25 and above",31.2
Republic of Korea,Air pollution Deaths Attributed to Fossil Fuels,31180.0
Republic of Korea,Inequality in income,16.42
Republic of Korea,Human development index (HDI),0.929
Republic of Korea,"Share of Informal employment age (%), 15 and above",26.6
Republic of Korea,"Informal employment age (thousands), 15-24",333.74
Republic of Korea,Strength of legal rights index (0=weak to 12=strong),5.0
Republic of Korea,"Informal Employment in Non-Agriculture Employment, percent",23.1
Republic of Korea,"Planetary pressures adjusted Human Development Index, differnece from non-adjusted HDI value",16.58
Republic of Korea,"Inequality-adjusted Human Development Index, difference from non-adjusted HDI value",9.47
Republic of Korea,"Estimates of Informal Output, percentage of official gross domestic product (GDP)",23.03
Republic of Korea,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Self-employed",1172.59
Republic of Korea,"Share of Informal employment by sex (%), Total",26.6
Republic of Korea,"Share of Employment outside the Formal Sector by sex and age (%), Male, 15 and above",15.2
Republic of Korea,"Employment outside the Formal Sector by sex (thousands), Female",2121.08
Republic of Korea,Rule of Law Index,1.13
Republic of Korea,"Share of Employment outside the Formal Sector by economic activity (%), Non-agriculture",13.2
Republic of Korea,"Informal employment by sex and status in employment (thousands), Female, Not classified",18.39
Republic of Korea,Share of Parliament Seats Held by Women,18.64
Republic of Korea,Climate Risk Index Ranking,91.0
Republic of Korea,"Ores and metals exports, percent of merchandise exports",2.97
Republic of Korea,"Access to electricity, rural (% of rural population)",100.0
Republic of Korea,Government Effectiveness Index,1.41
Republic of Korea,"Share of Employment outside the Formal Sector by sex and age (%), Female, 25 and above",19.8
Republic of Korea,Access to electricity (% of population),100.0
Republic of Korea,"Share of Informal employment by status in employment (%), Self-employed",33.0
Republic of Korea,"Employment outside the Formal Sector by sex and economic activity (thousands), Female, Non-agriculture",1606.15
Republic of Korea,"Rural Population, total",9588890.0
Republic of Korea,"Access to electricity, urban (% of urban population)",100.0
Republic of Korea,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Employees",2321.52
Republic of Korea,"Carbon dioxide emissions production per capita, tonnes",11.89
Republic of Korea,Coverage of protected areas in relation to marine areas,38.7
Republic of Korea,"Gross Domestic Product (GDP), percent change",2.34
Republic of Korea,"Gross National Income Per Capita, female (2017 PPP$)",31062.95
Republic of Korea,Gender Development Index,0.95
Republic of Korea,Share of Parliament Seats Held by Men,81.36
Republic of Korea,Inequality-adjusted Human Development Index,0.84
Republic of Korea,"Climate Change-related change in death rates per 100,000 population (RCP8.5 SSP3)",-47.03
Republic of Korea,"Employment outside the Formal Sector by sex and age (thousands), Male, 15-24",118.56
Republic of Korea,"Informal employment by sex and age (thousands), Female, 15-24",185.45
Republic of Korea,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Not classified",27.09
Republic of Korea,"Informal employment by age (thousands), 15-64",5016.44
Republic of Korea,"Informal employment by sex and economic activity (thousands), Female, Agriculture",534.55
Republic of Korea,"Informal employment by sex and economic activity (thousands), Female, Non-agriculture",2784.6
Republic of Korea,"Unemployed Receiving Unemployment Benefits, percent",37.1
Republic of Korea,"Population, total",51741962.0
Republic of Korea,Climate Change Readiness Ranking,6.0
Republic of Korea,"Freshwater withdrawal, proportion of available freshwater resources",85.22
Republic of Korea,CSO participatory environment,1.52
Republic of Korea,"Percent change in Gross Domestic Product, pre-COVID-19 baseline",2.92
Republic of Korea,"Share of Employment outside the Formal Sector by sex and economic activity (%), Male, Non-agriculture",11.3
Republic of Korea,"Poverty headcount ratio at $2.15 a day (2017 PPP), % of population",0.2
Republic of Korea,"Informal employment by age (thousands), 15 and above",6978.76
Republic of Korea,Share of female business owners of new LLCs,23.99
Republic of Korea,"Employed Covered in the Event of Work Injury, percent",85.2
Republic of Korea,"Poverty headcount ratio at $3.65 a day (2017 PPP), % of population",0.5
Republic of Korea,Emission levels associated with GHG target set by (I)NDCs,436.56
Republic of Korea,"Share of Employment outside the Formal Sector by sex (%), Female",19.8
Republic of Korea,"Employment outside the Formal Sector by sex and age (thousands), Male, 25 and above",2248.16
Republic of Korea,"Mean Daily CO2 Emissions Change associated with COVID-19, percent",-14.7
Republic of Korea,Climate Change Readiness Score,0.72
Republic of Korea,Security Apparatus Score,1.8
Republic of Korea,"Informal employment by age (thousands), 25 and above",6645.02
Republic of Korea,"Share of Informal employment by sex and status in employment (%), Male, Employees",21.7
Republic of Korea,"Forest Area within Legally Established Protected Areas, percentage of total forest area",6.86
Republic of Korea,"Share of Informal employment by sex and economic activity (%), Female, Agriculture",89.4
Republic of Korea,"Share of Informal employment by economic activity (%), Non-agriculture",23.1
Republic of Korea,"Informal employment by sex and status in employment (thousands), Male, Employees",2478.34
Republic of Korea,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $5.50 poverty line",0.03
Republic of Korea,"Informal employment by sex and age (thousands), Female, 15-64",2440.68
Republic of Korea,"Share of Employment outside the Formal Sector by status in employment (%), Self-employed",33.0
Republic of Korea,Net debt as percent of GDP,27.28
Republic of Korea,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",9.9
Republic of Korea,Unemployment rate,3.6
Republic of Korea,"Share of Informal employment by sex and status in employment (%), Male, Self-employed",28.8
Republic of Korea,"Share of Informal employment by sex and status in employment (%), Female, Employees",28.3
Republic of Korea,"Gross Domestic Product per capita, purchasing power parity (current international USD)",50330.54
Republic of Korea,"Share of Informal employment by sex and age (%), Female, 15 and above",31.0
Republic of Korea,"Share of Informal employment by sex and economic activity (%), Male, Non-agriculture",20.1
Republic of Korea,"Share of Employment outside the Formal Sector by sex and economic activity (%), Male, Agriculture",85.1
Republic of Korea,"Informal employment by sex and status in employment (thousands), Female, Employees",2334.15
Republic of Korea,Workers excluded from legal coverage on the basis of the size of the enterprise,15.0
Republic of Korea,"Forest Area with a Long-Term Management Plan, percentage of total forest area",39.34
Republic of Korea,"Share of Employment outside the Formal Sector by age (%), 15 and above",17.1
Republic of Korea,"Vulnerable Persons Covered by Social Assistance, percent",48.9
Republic of Korea,Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),3.05
Republic of Korea,"Share of Employment outside the Formal Sector by sex and economic activity (%), Female, Agriculture",86.2
Republic of Korea,"Government Effectiveness Index, percentile rank",90.87
Republic of Korea,"Population Using at least Basic Sanitation Services, urban, percent",99.82
Republic of Korea,Civil society index,0.84
Republic of Korea,"Informal employment by sex (thousands), Total",6978.76
Republic of Korea,Government Response Stringency Index,21.52
Republic of Korea,Youth Unemployment (% of total labor force ages 15-24),6.88
Republic of Korea,"Proportion of population above statutory pensionable age receiving a pension, total",100.0
Republic of Korea,"Informal employment by sex and status in employment (thousands), Female, Self-employed",966.61
Republic of Korea,Factionalized Elites Score,3.9
Republic of Korea,Planetary pressures adjusted Human Development Index,0.78
Republic of Korea,"Employment outside the Formal Sector by sex (thousands), Male",2366.72
Republic of Korea,"Informal employment by sex and age (thousands), Male, 15-24",148.29
Republic of Korea,"Informal employment by sex and economic activity (thousands), Male, Agriculture",708.44
Republic of Korea,Percentage of primary schools with access to the internet,100.0
Republic of Korea,Gini Index,31.4
Republic of Korea,"Informal employment by sex and economic activity (thousands), Male, Non-agriculture",2951.18
Republic of Korea,"Employment outside the Formal Sector by sex and age (thousands), Male, 15 and above",2366.72
Republic of Korea,Proporiton of Adults Who Want Lower Immigration Levels,27.48
Republic of Korea,"Informal employment by sex and age (thousands), Female, 15 and above",3319.14
Republic of Korea,"Population covered by at least one social protection benefit, total",82.9
Republic of Korea,Proportion of local governments that adopt and implement local disaster risk reduction (DRR) strategies in line with national disaster risk reduction strategies (%),100.0
Republic of Korea,"Share of Informal employment by sex and age (%), Male, 25 and above",23.2
Republic of Korea,"Rule of Law Index, percentile rank",84.62
Republic of Korea,"Share of Informal employment by sex and economic activity (%), Female, Non-agriculture",27.6
Republic of Korea,"Employment outside the Formal Sector by sex and age (thousands), Total, 15 and above",4487.8
Republic of Korea,"Share of Employment outside the Formal Sector by age (%), 15-24",23.5
Republic of Korea,"Informal employment by sex (thousands), Male",3659.62
Republic of Korea,Refugee population by country or territory of asylum,3825.0
Republic of Korea,"Government Net Lending/Borrowing, percent of Gross Domestic Product, pre-COVID-19 baseline",-1.39
Republic of Korea,"Employment outside the Formal Sector by sex and age (thousands), Female, 15 and above",2121.08
Republic of Korea,Gross National Income Per Capita (2017 PPP$),46026.45
Republic of Korea,"Employment in industry, % of total employment",24.6
Republic of Korea,"Informal employment by sex and status in employment (thousands), Total, Not classified",27.09
Republic of Korea,Consumption of controlled substance (zero-filled) - Chemical: Total,1053.16
Republic of Korea,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Self-employed",966.61
Republic of Korea,"Employment outside the Formal Sector by sex and age (thousands), Female, 25 and above",1992.71
Republic of Korea,"Employment outside the Formal Sector by sex and economic activity (thousands), Total, Agriculture",1215.76
Republic of Korea,"Employment outside the Formal Sector by sex and age (thousands), Total, 15-64",3352.98
Republic of Korea,"Informal employment by sex and age (thousands), Male, 15 and above",3659.62
Republic of Korea,"Population ages 65 and above, % of total population",17.49
Republic of Korea,"Access to internet, percent of population",97.17
Republic of Korea,"Informal employment by sex and age (thousands), Male, 25 and above",3511.32
Republic of Korea,Percentage of secondary schools with access to the internet,100.0
Republic of Korea,"Climate Change-related change in death rates per 100,000 population (RCP4.5 SSP3)",-42.08
Republic of Korea,External Peace Score,2.5
Republic of Korea,"Poor Persons Covered by Social Protection Systems, percent",21.4
Republic of Korea,Human Flight and Brain Drain Score,3.4
Republic of Korea,"Employment in agriculture, % of total employment",5.35
Republic of Korea,"Greenhouse Gas (GHG) emissions, MtCO2e",613.54
Republic of Korea,Access to clean fuels and technologies for cooking (% of population),100.0
Republic of Korea,"Share of Employment outside the Formal Sector by sex and age (%), Male, 15-24",29.4
Republic of Korea,LGBTQ+ Equality Index,46.0
Republic of Korea,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $1.90 poverty line",0.01
Republic of Korea,"Inflation, percent change pre-COVID-19 baseline",2.0
Republic of Korea,"Gross National Income Per Capita, male (2017 PPP$)",61036.76
Republic of Korea,"Informal employment by sex and status in employment (thousands), Total, Employees",4812.48
Republic of Korea,"Informal employment by sex and status in employment (thousands), Male, Self-employed",1172.59
Republic of Korea,"Employment outside the Formal Sector by sex and economic activity (thousands), Male, Agriculture",700.83
Republic of Korea,"Employment outside the Formal Sector by sex and age (thousands), Total, 15-24",246.93
Republic of Korea,"Share of Informal employment by sex (%), Female",31.0
Republic of Korea,"Informal employment by sex and economic activity (thousands), Total, Agriculture",1242.98
Republic of Korea,Economic Inequality Score,32.7
Republic of Korea,"Urban Population, total",42039227.0
Republic of Korea,Government net lending/borrowing as percent of GDP,0.16
Republic of Korea,"Informal employment by sex and status in employment (thousands), Male, Not classified",8.7
Republic of Korea,"Employment outside the Formal Sector by sex and age (thousands), Female, 15-24",128.37
Republic of Korea,"Share of Informal employment by status in employment (%), Employees",24.4
Republic of Korea,"Share of Employment outside the Formal Sector by sex (%), Total",17.1
Republic of Korea,Fragile States Index,77.78
Republic of Korea,Consumption of controlled substance (zero-filled) - Chemical: Hydrochlorofluorocarbons (HCFCs),1053.06
Republic of Korea,"Informal employment by sex and age (thousands), Female, 25 and above",3133.7
Republic of Korea,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Employees",13.8
Republic of Korea,"Employment outside the Formal Sector by sex and age (thousands), Total, 25 and above",4240.86
Republic of Korea,"Unemployment rate, pre-COVID-19 baseline",3.8
Republic of Korea,"Employment outside the Formal Sector by sex and age (thousands), Male, 15-64",1719.77
Republic of Korea,"Share of Employment outside the Formal Sector by sex (%), Male",15.2
Republic of Korea,"Children/Households Receiving Child/Family Cash Benefits, percent",22.9
Republic of Korea,"Poverty headcount ratio at $6.85 a day (2017 PPP), % of population",1.2
Republic of Korea,"Share of Employment outside the Formal Sector by economic activity (%), Agriculture",85.6
Republic of Korea,"Share of Informal employment by sex and age (%), Female, 15-24",28.7
Republic of Korea,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Self-employed",39.9
Republic of Korea,Gender Inequality Index,0.06
Republic of Korea,"Informal employment by sex and economic activity (thousands), Total, Non-agriculture",5735.78
Republic of Korea,"Labour Force Participation Rate, male",73.66
Republic of Korea,Influence and Impact of External Actors in State Functioning,4.1
Republic of Korea,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Not classified",18.39
Republic of Korea,Group Divisions in Society Score,2.6
Republic of Korea,"Share of Informal employment by status in employment (%), Not classified",100.0
Republic of Korea,"Share of Informal employment by sex and age (%), Male, 15 and above",23.6
Republic of Korea,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $3.20 poverty line",0.02
Republic of Korea,"Share of Employment outside the Formal Sector by status in employment (%), Not classified",100.0
Republic of Korea,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Self-employed",2139.19
Republic of Korea,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Not classified",100.0
Republic of Korea,"Employment outside the Formal Sector by sex and age (thousands), Female, 15-64",1633.21
Republic of Korea,"Employment outside the Formal Sector by sex and economic activity (thousands), Female, Agriculture",514.93
Republic of Korea,"Informal employment by sex and age (thousands), Male, 15-64",2575.76
Republic of Korea,"Informal employment by sex (thousands), Female",3319.14
Republic of Korea,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Not classified",100.0
Republic of Korea,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Self-employed",28.8
Republic of Korea,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Employees",1185.44
Republic of Korea,"Inflation, percent change",2.0
Republic of Korea,"Share of Informal employment by sex and status in employment (%), Female, Not classified",100.0
Republic of Korea,Mean household per capita out-of-pocket health spending ($ 2011 PPP),659.75
Republic of Korea,"Proportion of population above statutory pensionable age receiving a pension, female",100.0
Republic of Korea,"Labour Force Participation Rate, female",55.04
Republic of Korea,"Proportion of population above statutory pensionable age receiving a pension, male",100.0
Republic of Korea,"Gross Domestic Product (GDP) per capita, percent change",2.44
Republic of Korea,"Share of Informal employment by sex and status in employment (%), Male, Not classified",100.0
Republic of Korea,"Share of Employment outside the Formal Sector by status in employment (%), Employees",11.8
Republic of Korea,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Employees",10.4
Republic of Korea,"Share of Informal employment by sex and age (%), Male, 15-24",36.7
Republic of Korea,"Share of Employment outside the Formal Sector by sex and economic activity (%), Female, Non-agriculture",15.9
Republic of Korea,"Employment in services, % of total employment",70.05
Republic of Korea,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Employees",1136.08
Republic of Moldova,"Share of Informal employment by sex and economic activity (%), Male, Non-agriculture",18.1
Republic of Moldova,Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),3.05
Republic of Moldova,"Share of Informal employment by sex and status in employment (%), Female, Employees",4.3
Republic of Moldova,Public Sector Management and Institutions Index,3.3
Republic of Moldova,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $3.20 poverty line",0.01
Republic of Moldova,"Mothers with newborns receiving maternity benefits, Females",100.0
Republic of Moldova,"Internet users, total (% of population)",76.12
Republic of Moldova,"Urban Population, total",1096117.0
Republic of Moldova,"Planetary pressures adjusted Human Development Index, differnece from non-adjusted HDI value",4.19
Republic of Moldova,"Share of Informal employment by sex and economic activity (%), Female, Non-agriculture",4.1
Republic of Moldova,"Inflation, percent change",5.0
Republic of Moldova,"Informal employment by sex and age (thousands), Female, 25 and above",425.06
Republic of Moldova,"Informal employment by sex and status in employment (thousands), Female, Employees",15.41
Republic of Moldova,"Employment outside the Formal Sector by sex and age (thousands), Male, 15 and above",376.36
Republic of Moldova,Gender Development Index,1.03
Republic of Moldova,"Employment outside the Formal Sector by sex and economic activity (thousands), Male, Agriculture",321.26
Republic of Moldova,"Government Net Lending/Borrowing, percent of Gross Domestic Product, pre-COVID-19 baseline",-2.07
Republic of Moldova,"Share of Employment outside the Formal Sector by sex and economic activity (%), Female, Agriculture",93.3
Republic of Moldova,Consumption of controlled substance (zero-filled) - Chemical: Hydrochlorofluorocarbons (HCFCs),0.54
Republic of Moldova,"Employment outside the Formal Sector by sex and economic activity (thousands), Female, Non-agriculture",11.13
Republic of Moldova,"Employment in agriculture, % of total employment",37.63
Republic of Moldova,Consumption of controlled substance (zero-filled) - Chemical: Total,0.54
Republic of Moldova,"Renewable Internal Freshwater Resources per Capita, cubic meters",614.77
Republic of Moldova,"Unemployed Receiving Unemployment Benefits, percent",10.5
Republic of Moldova,Climate Risk Index Ranking,84.0
Republic of Moldova,Refugee population by country or territory of asylum,105374.0
Republic of Moldova,Air pollution Deaths Attributed to Fossil Fuels,3450.0
Republic of Moldova,"Share of Employment outside the Formal Sector by economic activity (%), Non-agriculture",9.7
Republic of Moldova,"Informal employment by sex and status in employment (thousands), Male, Self-employed",371.66
Republic of Moldova,Government net lending/borrowing as percent of GDP,-3.3
Republic of Moldova,"Informal employment by sex and economic activity (thousands), Female, Agriculture",441.94
Republic of Moldova,Fragile States Index,48.31
Republic of Moldova,"Employment outside the Formal Sector by sex and age (thousands), Total, 15 and above",812.64
Republic of Moldova,"Informal employment by age (thousands), 25 and above",791.0
Republic of Moldova,Government Effectiveness Index,-0.4
Republic of Moldova,"Employment outside the Formal Sector by sex and age (thousands), Female, 15 and above",436.28
Republic of Moldova,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Employees",7.2
Republic of Moldova,"Population covered by at least one social protection benefit, total",42.0
Republic of Moldova,Refugees and IDPs Score,2.8
Republic of Moldova,"Informal employment by sex and age (thousands), Male, 15-24",33.75
Republic of Moldova,"Employment outside the Formal Sector by sex and age (thousands), Total, 25 and above",752.69
Republic of Moldova,"Access to water services, percent of population",75.22
Republic of Moldova,Persons with Severe Disabilities Collecting Disability Social Protection Benefits,100.0
Republic of Moldova,Civil society index,0.83
Republic of Moldova,"Informal employment age (thousands), 15-24",65.11
Republic of Moldova,"Employment in services, % of total employment",45.91
Republic of Moldova,Strength of legal rights index (0=weak to 12=strong),8.0
Republic of Moldova,"Estimates of Informal Output, percentage of official gross domestic product (GDP)",42.88
Republic of Moldova,"Share of Informal employment by sex and economic activity (%), Male, Agriculture",86.6
Republic of Moldova,Access to clean fuels and technologies for cooking (% of population),95.8
Republic of Moldova,Structural Policies Index,3.67
Republic of Moldova,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Employees",9.99
Republic of Moldova,"Share of Employment outside the Formal Sector by age (%), 15-24",62.7
Republic of Moldova,External Peace Score,3.9
Republic of Moldova,"Share of Employment outside the Formal Sector by sex and economic activity (%), Female, Non-agriculture",3.2
Republic of Moldova,"Share of Employment outside the Formal Sector by age (%), 25 and above",52.4
Republic of Moldova,"Share of Informal employment by sex (%), Female",56.5
Republic of Moldova,"Share of Informal employment by sex and age (%), Female, 15 and above",56.5
Republic of Moldova,"Share of Employment outside the Formal Sector by sex and economic activity (%), Male, Non-agriculture",16.6
Republic of Moldova,"Human Development Index, female",0.78
Republic of Moldova,"Informal employment by sex and age (thousands), Female, 15 and above",456.42
Republic of Moldova,"Share of Employment outside the Formal Sector by sex (%), Female",54.0
Republic of Moldova,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Employees",2.2
Republic of Moldova,"Population living in slums, % of urban population",6.5
Republic of Moldova,"Share of Employment outside the Formal Sector by sex and economic activity (%), Male, Agriculture",81.9
Republic of Moldova,"Forest Area with a Long-Term Management Plan, percentage of total forest area",80.4
Republic of Moldova,"Share of Employment outside the Formal Sector by sex (%), Total",53.1
Republic of Moldova,Youth Unemployment (% of total labor force ages 15-24),8.11
Republic of Moldova,"Forest Area within Legally Established Protected Areas, percentage of total forest area",19.63
Republic of Moldova,"Share of Employment outside the Formal Sector by sex and age (%), Female, 15 and above",54.0
Republic of Moldova,Coefficient of human inequality,8.42
Republic of Moldova,Extent of Monopoly on Use of Force,6.0
Republic of Moldova,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Self-employed",93.7
Republic of Moldova,Ambient particulate matter pollution exposure,13.75
Republic of Moldova,"Labour Force Participation Rate, male",73.71
Republic of Moldova,"Share of Informal employment by status in employment (%), Self-employed",96.0
Republic of Moldova,"Population Using at least Basic Drinking-Water Services, total, percent",92.02
Republic of Moldova,"Informal employment by sex and age (thousands), Male, 15 and above",399.69
Republic of Moldova,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Self-employed",95.8
Republic of Moldova,Climate Change Readiness Score,0.43
Republic of Moldova,Security Apparatus Score,4.8
Republic of Moldova,"Population Using at least Basic Drinking-Water Services, urban, percent",97.69
Republic of Moldova,"Chemicals Manufacturing, percent of value added",7.22
Republic of Moldova,Terrestrial protected areas (% of total land area),11.43
Republic of Moldova,"Gross Domestic Product per capita, purchasing power parity (current international USD)",15719.23
Republic of Moldova,"Share of Employment outside the Formal Sector by economic activity (%), Agriculture",88.1
